test_id,file,function,line,async,assertions,status_code_assertions,http_methods,endpoint_literals,parametrized,decorators,execution_status,execution_cases,passed_cases,execution_evidence,evidence
modules/business/tests/test_contract.py::test_required_contract_documents_exist,modules/business/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/business/tests/test_contract.py:4
modules/business/tests/test_create_flow.py::test_business_membership_invite_and_role_assignment_flow,modules/business/tests/test_create_flow.py,test_business_membership_invite_and_role_assignment_flow,38,False,14,7,GET;POST,/actions/activate;/events/outbox;/resources/user_company_memberships;/resources/user_company_memberships/,False,,não consta nos relatórios de execução,0,0,,modules/business/tests/test_create_flow.py:38
modules/business/tests/test_create_flow.py::test_create_and_approve_flow,modules/business/tests/test_create_flow.py,test_create_and_approve_flow,18,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/business/tests/test_create_flow.py:18
modules/business/tests/test_health.py::test_health,modules/business/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/business/tests/test_health.py:4
modules/business/tests/test_permissions.py::test_create_auth_boundary,modules/business/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/business/tests/test_permissions.py:6
modules/crm/tests/test_contract.py::test_required_contract_documents_exist,modules/crm/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/crm/tests/test_contract.py:4
modules/crm/tests/test_create_flow.py::test_create_and_approve_flow,modules/crm/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/crm/tests/test_create_flow.py:6
modules/crm/tests/test_health.py::test_health,modules/crm/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/crm/tests/test_health.py:4
modules/crm/tests/test_permissions.py::test_create_auth_boundary,modules/crm/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/crm/tests/test_permissions.py:6
modules/delivery/tests/test_contract.py::test_required_contract_documents_exist,modules/delivery/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/delivery/tests/test_contract.py:4
modules/delivery/tests/test_create_flow.py::test_create_and_approve_flow,modules/delivery/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/delivery/tests/test_create_flow.py:6
modules/delivery/tests/test_health.py::test_health,modules/delivery/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/delivery/tests/test_health.py:4
modules/delivery/tests/test_permissions.py::test_create_auth_boundary,modules/delivery/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/delivery/tests/test_permissions.py:6
modules/document/tests/test_contract.py::test_required_contract_documents_exist,modules/document/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/document/tests/test_contract.py:4
modules/document/tests/test_create_flow.py::test_create_and_approve_flow,modules/document/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/document/tests/test_create_flow.py:6
modules/document/tests/test_health.py::test_health,modules/document/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/document/tests/test_health.py:4
modules/document/tests/test_permissions.py::test_create_auth_boundary,modules/document/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/document/tests/test_permissions.py:6
modules/erp/tests/test_billing_integration.py::test_create_billing_with_items_and_sandbox,modules/erp/tests/test_billing_integration.py,test_create_billing_with_items_and_sandbox,20,False,6,1,POST,/erp/billing,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_billing_integration.py:20
modules/erp/tests/test_cancel_billing_integration.py::test_cancel_billing_not_found,modules/erp/tests/test_cancel_billing_integration.py,test_cancel_billing_not_found,58,False,2,1,POST,/cancel;/erp/billing/,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_cancel_billing_integration.py:58
