event,version,module,entity,action,source_statuses,target_status,roles,requires_mfa,payload_fields,producer,consumers,idempotency_key,correlation_id,evidence
tms.carrier.rejected,não declarada,tms,carriers,reject,draft;pending_review;pending_validation;under_review,rejected,administrator;auditor;compliance_officer;legal_representative;owner,True,name;coverage,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.carrier.submitted,não declarada,tms,carriers,submit,draft;pending_documents,pending_review,,False,name;coverage,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.freight.audit_closed,não declarada,tms,freight_audits,close,reviewed,closed,administrator;auditor;compliance_officer;legal_representative;owner,True,freight_id;audit_result;audited_at,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.freight.approved,não declarada,tms,freights,approve,quoted,approved,administrator;auditor;compliance_officer;legal_representative;owner,True,carrier_id;route_id;freight_brl;scheduled_at,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.freight.completed,não declarada,tms,freights,complete,in_transit,completed,administrator;auditor;compliance_officer;legal_representative;owner,True,carrier_id;route_id;freight_brl;scheduled_at,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.freight.dispatched,não declarada,tms,freights,dispatch,approved,in_transit,,False,carrier_id;route_id;freight_brl;scheduled_at,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
tms.route.activated,não declarada,tms,routes,activate,planned,active,,False,origin;destination;distance_km;eta_minutes,tms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.device.cancelled,não declarada,vision,devices,cancel,active;approved;draft;pending_review,cancelled,,False,device_fingerprint,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.device.completed,não declarada,vision,devices,complete,active;approved;in_progress,completed,,False,device_fingerprint,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.device.submitted,não declarada,vision,devices,submit,draft,pending_review,,False,device_fingerprint,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.incident.resolved,não declarada,vision,motion_alerts,resolve,detected;under_review,resolved,administrator;auditor;compliance_officer;legal_representative;owner,True,device_id;stream_id;detected_at;confidence_score,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.incident.created,não declarada,vision,motion_alerts,triage,detected,under_review,administrator;auditor;compliance_officer;legal_representative;owner,True,device_id;stream_id;detected_at;confidence_score,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.stream.paused,não declarada,vision,streams,pause,active,paused,administrator;auditor;compliance_officer;legal_representative;owner,True,device_id;stream_url_hash;protocol;started_at,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
vision.stream.resumed,não declarada,vision,streams,resume,paused,active,administrator;auditor;compliance_officer;legal_representative;owner,True,device_id;stream_url_hash;protocol;started_at,vision,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.bin.cancelled,não declarada,wms,bins,cancel,active;approved;draft;pending_review,cancelled,,False,warehouse_id;code,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.bin.completed,não declarada,wms,bins,complete,active;approved;in_progress,completed,,False,warehouse_id;code,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.bin.submitted,não declarada,wms,bins,submit,draft,pending_review,,False,warehouse_id;code,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.inventory.allocated,não declarada,wms,inventory,allocate,received,allocated,,False,warehouse_id;sku;quantity;received_at,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.inventory.received,não declarada,wms,inventory,receive,draft;received,received,,False,warehouse_id;sku;quantity;received_at,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.picking.closed,não declarada,wms,picking_waves,close,picked,closed,administrator;auditor;compliance_officer;legal_representative;owner,True,warehouse_id;order_reference;sku;quantity,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.picking.completed,não declarada,wms,picking_waves,pick,open,picked,,False,warehouse_id;order_reference;sku;quantity,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.shipment.dispatched,não declarada,wms,shipments,dispatch,ready,dispatched,administrator;auditor;compliance_officer;legal_representative;owner,True,warehouse_id;picking_wave_id;carrier_reference,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.warehouse.cancelled,não declarada,wms,warehouses,cancel,active;approved;draft;pending_review,cancelled,,False,name,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.warehouse.completed,não declarada,wms,warehouses,complete,active;approved;in_progress,completed,,False,name,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
wms.warehouse.submitted,não declarada,wms,warehouses,submit,draft,pending_review,,False,name,wms,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
