module,entity,required_fields,unique_fields,monetary_fields,initial_status,sensitive,immutable,has_rule_override,has_physical_table,has_ui_surface,evidence
vision,streams,device_id;stream_url_hash;protocol;started_at,,,active,True,False,True,False,True,modules/shared/domain_rules.py:873
vision,recordings,stream_id;storage_key;file_sha256;started_at,,,recorded,True,True,True,False,True,modules/shared/domain_rules.py:894
vision,motion_alerts,device_id;stream_id;detected_at;confidence_score,,,detected,True,False,True,False,False,modules/shared/domain_rules.py:900
legal,cases,case_number;case_type;opened_at,,risk_brl,draft,True,False,True,True,True,modules/shared/domain_rules.py:921
legal,deadlines,case_id;deadline_type;due_at,,,pending,True,False,True,False,True,modules/shared/domain_rules.py:927
legal,hearings,case_id;scheduled_at,,,scheduled,True,False,True,False,True,modules/shared/domain_rules.py:946
legal,legal_contracts,,,,draft,False,False,False,False,False,modules/shared/domain_rules.py:74
property,properties,address;property_type,,,draft,False,False,True,True,True,modules/shared/domain_rules.py:951
property,units,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
property,leases,property_id;tenant_user_id;starts_at;rent_amount_brl,,rent_amount_brl;deposit_amount_brl,draft,False,False,True,False,True,modules/shared/domain_rules.py:955
property,assemblies,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
property,maintenance_orders,property_id;issue_type;requested_at,,estimated_cost_brl,requested,False,False,True,False,False,modules/shared/domain_rules.py:976
bi,datasets,name;source_module;source_resource_type;refresh_mode,,,draft,False,False,True,False,True,modules/shared/domain_rules.py:995
bi,dashboards,dataset_id;name;definition;allowed_roles,,,draft,True,False,True,True,True,modules/shared/domain_rules.py:1013
bi,indicators,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
bi,exports,dashboard_id;export_format;requested_at,,,requested,True,False,True,False,True,modules/shared/domain_rules.py:1034
ai_core,ai_memories,memory_key;summary,,,draft,True,False,True,False,False,modules/shared/domain_rules.py:1046
ai_core,moderation_decisions,module;risk_score,,,draft,True,False,True,True,False,modules/shared/domain_rules.py:1063
ai_core,model_runs,provider_adapter;provider_name;model_name;prompt_tokens;completion_tokens;estimated_cost_brl;requested_at,,estimated_cost_brl,requested,True,False,True,False,False,modules/shared/domain_rules.py:1068
api_hub,api_clients,client_name;scopes,,,draft,True,False,True,True,False,modules/shared/domain_rules.py:1101
api_hub,api_keys,key_name;key_hash;key_hint;scopes,,,draft,True,False,True,True,False,modules/shared/domain_rules.py:1102
api_hub,webhooks,target_url;event_patterns;signing_secret_reference,,,draft,True,False,True,True,True,modules/shared/domain_rules.py:1103
api_hub,integration_runs,integration_type;provider_name,,,draft,True,False,True,True,False,modules/shared/domain_rules.py:1104
