module,method,path,function,parameters,request_fields,response_model,evidence
shared,POST,/pricing/commission,calculate_marketplace_commission,body:CommissionRequest;actor:Actor,,,modules/shared/runtime.py:1035
shared,POST,/resumes/{resume_id}/imports/ctps-digital,import_ctps_digital,resume_id:UUID;document:bytes;actor:Actor;x_correlation_id:UUID | None,,,modules/shared/runtime.py:1110
shared,GET,/resumes/{resume_id}/documents/{document_id}/content,own_resume_document,resume_id:UUID;document_id:UUID;actor:Actor;x_correlation_id:UUID | None,,,modules/shared/runtime.py:1181
shared,GET,/resumes/{resume_id}/complete,own_complete_resume,resume_id:UUID;actor:Actor,,,modules/shared/runtime.py:1227
shared,GET,/vacancies,vacancies,q:str | None,,,modules/shared/runtime.py:1239
shared,GET,/recruiting/resumes,candidate_resumes,q:str | None;actor:Actor;x_correlation_id:UUID | None,,,modules/shared/runtime.py:1258
shared,GET,/recruiting/resumes/{resume_id},recruiter_resume_view,resume_id:UUID;purpose:str;actor:Actor;x_correlation_id:UUID | None,,,modules/shared/runtime.py:1292
shared,GET,/valley/catalog/modules,valley_catalog_modules,,,,modules/shared/valley.py:170
shared,GET,/valley/catalog/categories,valley_catalog_categories,,,,modules/shared/valley.py:174
shared,GET,/valley/catalog/business-activities,valley_catalog_business_activities,,,,modules/shared/valley.py:178
shared,GET,/valley/catalog/facets,valley_catalog_facets,,,,modules/shared/valley.py:182
shared,GET,/valley/catalog,valley_catalog_home,q:str | None;category:str | None;offer_type:str | None;lat:float | None;lng:float | None;company_type:str | None;company_category:str | None;business_activity:str | None;price_min:float | None;price_max:float | None;availability:str | None;verified_only:bool,,,modules/shared/valley.py:186
shared,GET,/valley/catalog/offers,valley_catalog_offers,,,,modules/shared/valley.py:217
shared,GET,/valley/catalog/offers/{offer_id},valley_catalog_offer_detail,offer_id:str,,,modules/shared/valley.py:221
shared,GET,/valley/catalog/search,valley_catalog_search,q:str | None;category:str | None;offer_type:str | None;lat:float | None;lng:float | None;company_type:str | None;company_category:str | None;business_activity:str | None;price_min:float | None;price_max:float | None;availability:str | None;verified_only:bool,,,modules/shared/valley.py:230
shared,POST,/valley/orders/{order_id}/pepitas/grants,grant_pepitas,order_id:UUID;body:ValleyPepitaGrant;actor:Actor;x_idempotency_key:str | None,pepitas;customer_user_id;merchant_gold_ledger_id;note,,modules/shared/valley.py:263
shared,POST,/valley/checkout/discount-options,valley_stock_discount_options,body:ValleyStockDiscountRequest,catalog_product_id;price_brl;user_pepitas_balance,,modules/shared/valley.py:323
shared,POST,/valley/checkout/discount-quotes,valley_stock_discount_quote,body:ValleyStockDiscountQuoteRequest;actor:Actor;x_idempotency_key:str | None,,,modules/shared/valley.py:355
stock,POST,/calculations/unit-conversion,calculate_unit_conversion,body:UnitConversionRequest;x_actor_user_id:str,quantity;multiplier;divisor;precision;rounding_mode;source_dimension;target_dimension;effective_from;effective_to;approved;density,,modules/stock/main.py:120
stock,POST,/inventory/items,create_inventory_item,body:InventoryItemCreate;actor:Actor;x_correlation_id:UUID,user_id;company_id;warehouse_id;product_id;sku;physical_quantity;metadata,,modules/stock/main.py:141
stock,PATCH,/inventory/items/{inventory_item_id},adjust_inventory_item,inventory_item_id:UUID;body:InventoryAdjustment;actor:Actor;x_business_id:UUID;x_correlation_id:UUID,expected_version;physical_quantity;reason,,modules/stock/main.py:165
stock,POST,/reservations,reserve_inventory,body:ReservationCreate;actor:Actor;x_idempotency_key:str;x_correlation_id:UUID;x_causation_id:UUID | None,user_id;company_id;inventory_item_id;order_id;quantity;expires_in_seconds,,modules/stock/main.py:189
stock,POST,/reservations/{reservation_id}/commit,commit_reservation,reservation_id:UUID;actor:Actor;x_correlation_id:UUID,,,modules/stock/main.py:231
stock,POST,/reservations/{reservation_id}/release,release_reservation,reservation_id:UUID;body:ReservationRelease;actor:Actor;x_correlation_id:UUID,reason,,modules/stock/main.py:264
stock,POST,/reservations/expire,expire_reservations,limit:int;actor:Actor;x_correlation_id:UUID,,,modules/stock/main.py:293
valley_consumer,GET,/innovation/round-004,list_ideas,,,,modules/valley_consumer/innovation_round_004.py:207
valley_consumer,GET,/{idea_id},get_idea,idea_id:int,,,modules/valley_consumer/innovation_round_004.py:219
valley_consumer,POST,/{idea_id}/records,create_capability_record,idea_id:int;body:CapabilityRecordInput,owner_id;payload,,modules/valley_consumer/innovation_round_004.py:227
valley_consumer,POST,/marketplace/solution-options,marketplace_solution_options,body:MarketplaceSolutionRequest,user_id;need;usage_days;budget_brl;accepted_modes,,modules/valley_consumer/innovation_round_004.py:242
valley_consumer,POST,/marketplace/productive-surpluses,create_productive_surplus,body:ProductiveSurplusCreate,seller_id;title;category;quantity;unit;condition;evidence_urls;regulated_or_hazardous,,modules/valley_consumer/innovation_round_004.py:264
valley_consumer,POST,/services/outcome-contracts,create_service_outcome_contract,body:ServiceOutcomeContractCreate,client_id;professional_id;service_description;expected_result;amount_brl;max_validation_hours,,modules/valley_consumer/innovation_round_004.py:277
valley_consumer,POST,/services/outcome-contracts/{contract_id}/mark-delivered,mark_service_delivered,contract_id:UUID;body:ServiceValidationInput,actor;accepted;evidence;reason;evaluated_at,,modules/valley_consumer/innovation_round_004.py:297
valley_consumer,POST,/services/outcome-contracts/{contract_id}/validate,validate_service_outcome,contract_id:UUID;body:ServiceValidationInput,actor;accepted;evidence;reason;evaluated_at,,modules/valley_consumer/innovation_round_004.py:314
valley_consumer,POST,/mobility/providers,register_mobility_provider,body:MobilityProviderCreate,provider_name;state_code;cities;transport_modes;realtime_api_available;ticketing_api_available;payment_methods;production_verified;evidence_urls,,modules/valley_consumer/innovation_round_004.py:351
valley_consumer,GET,/mobility/coverage,mobility_coverage,state_code:str | None,,,modules/valley_consumer/innovation_round_004.py:368
valley_consumer,POST,/jobs/pilot-companies,register_jobs_pilot_company,body:JobsPilotCompanyCreate,company_id;opted_in;vacancies;consent_text_version,,modules/valley_consumer/innovation_round_004.py:381
valley_consumer,POST,/shopping-lists,create_shopping_list,body:ShoppingListCreate,user_id;items,,modules/valley_consumer/innovation_round_004.py:391
valley_consumer,POST,/shopping-lists/{user_id}/items,add_shopping_item,user_id:UUID;body:ShoppingItemCreate,name;quantity;estimated_price_brl;desired_by,,modules/valley_consumer/innovation_round_004.py:405
valley_consumer,POST,/shopping-lists/{user_id}/suggest,suggest_shopping_list,user_id:UUID;body:ShoppingSuggestionRequest,available_balance_brl;evaluated_at,,modules/valley_consumer/innovation_round_004.py:415
valley_consumer,POST,/shopping-lists/{user_id}/confirm-purchase,confirm_shopping_purchase,user_id:UUID;body:ShoppingPurchaseConfirmation,purchased_item_names;transaction_id,,modules/valley_consumer/innovation_round_004.py:433
valley_consumer,POST,/health/medication-plans,create_medication_plan,body:MedicationPrescriptionCreate,patient_id;prescription_id;medication_name;interval_hours;duration_days;first_dose_at;prescribed_by;prescription_verified,,modules/valley_consumer/innovation_round_004.py:448
valley_consumer,POST,/health/medication-plans/{plan_id}/doses/{dose_id}/confirm,confirm_medication_dose,plan_id:UUID;dose_id:UUID;body:DoseConfirmation,taken;confirmed_at,,modules/valley_consumer/innovation_round_004.py:475
valley_consumer,POST,/ai/autonomy-budgets,create_autonomy_budget,body:AutonomyBudgetCreate,user_id;module;action;level;max_amount_brl;valid_until,,modules/valley_consumer/innovation_round_004.py:487
valley_consumer,POST,/offline/events,enqueue_offline_event,body:OfflineEventCreate,device_id;module;event_type;idempotency_key;payload;expires_at;signature,,modules/valley_consumer/innovation_round_004.py:496
valley_consumer,GET,/innovation/round-005,list_ideas,,,,modules/valley_consumer/innovation_round_005.py:257
valley_consumer,GET,/flags,list_flags,,,,modules/valley_consumer/innovation_round_005.py:269
valley_consumer,PUT,/flags/{idea_id},update_flag,idea_id:int;body:FlagUpdate,enabled;rollout_stage,,modules/valley_consumer/innovation_round_005.py:274
valley_consumer,GET,/{idea_id},get_idea,idea_id:int,,,modules/valley_consumer/innovation_round_005.py:283
valley_consumer,POST,/{idea_id}/execute,execute_idea,idea_id:int;body:ActionRequest;sandbox:bool,owner_id;action;payload,,modules/valley_consumer/innovation_round_005.py:288
valley_consumer,GET,/{idea_id}/records,list_records,idea_id:int,,,modules/valley_consumer/innovation_round_005.py:312
valley_consumer,GET,/health,health,,,,modules/valley_consumer/main.py:15
