module,method,path,field,status,evidence
erp,POST,/integrations/sandbox/fiscal/invoices,payload sem modelo local comprovado,lacuna,modules/erp/main.py:162
finance,POST,/transfers,payload sem modelo local comprovado,lacuna,modules/finance/main.py:15
finance,POST,/pix/out,payload sem modelo local comprovado,lacuna,modules/finance/main.py:48
finance,POST,/escrows/hold,payload sem modelo local comprovado,lacuna,modules/finance/main.py:54
finance,POST,/escrows/{escrow_id}/release,payload sem modelo local comprovado,lacuna,modules/finance/main.py:71
finance,GET,/wallets/{user_id},payload sem modelo local comprovado,lacuna,modules/finance/main.py:80
finance,GET,/valley/gold/balance,payload sem modelo local comprovado,lacuna,modules/finance/main.py:88
finance,POST,/webhooks/cash-in,payload sem modelo local comprovado,lacuna,modules/finance/main.py:111
finance,POST,/gateways/cash-out,payload sem modelo local comprovado,lacuna,modules/finance/main.py:131
identity,POST,/kyc/submit,payload sem modelo local comprovado,lacuna,modules/identity/main.py:169
identity,GET,/kyc/status/{user_id},payload sem modelo local comprovado,lacuna,modules/identity/main.py:209
identity,POST,/mfa/setup,payload sem modelo local comprovado,lacuna,modules/identity/main.py:231
identity,POST,/mfa/verify,payload sem modelo local comprovado,lacuna,modules/identity/main.py:283
identity,POST,/kyc/ocr-validate,payload sem modelo local comprovado,lacuna,modules/identity/main.py:381
identity,POST,/auth/login,payload sem modelo local comprovado,lacuna,modules/identity/main.py:404
identity,POST,/auth/refresh,payload sem modelo local comprovado,lacuna,modules/identity/main.py:445
identity,POST,/auth/logout,payload sem modelo local comprovado,lacuna,modules/identity/main.py:501
identity,POST,/registrations,payload sem modelo local comprovado,lacuna,modules/identity/main.py:528
marketplace,POST,/valley/orders/{order_id}/support,kind,campo de modelo Pydantic comprovado,modules/marketplace/main.py:25
marketplace,POST,/valley/orders/{order_id}/support,subject,campo de modelo Pydantic comprovado,modules/marketplace/main.py:25
marketplace,POST,/valley/orders/{order_id}/support,message,campo de modelo Pydantic comprovado,modules/marketplace/main.py:25
marketplace,POST,/valley/orders/{order_id}/support,desired_resolution,campo de modelo Pydantic comprovado,modules/marketplace/main.py:25
marketplace,POST,/valley/orders/{order_id}/support,idempotency_key,campo de modelo Pydantic comprovado,modules/marketplace/main.py:25
marketplace,GET,/valley/insights/commercial,payload sem modelo local comprovado,lacuna,modules/marketplace/main.py:84
services,GET,/providers/{provider_id}/time-slots,payload sem modelo local comprovado,lacuna,modules/services/main.py:13
services,POST,/providers/{provider_id}/reserve-slot,payload sem modelo local comprovado,lacuna,modules/services/main.py:26
shared,GET,/health,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:577
shared,GET,/version,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:581
shared,GET,/status,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:585
shared,GET,/metrics,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:597
shared,GET,/catalog,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:607
shared,POST,/resources/{resource_type},user_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:648
shared,POST,/resources/{resource_type},entity_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:648
shared,POST,/resources/{resource_type},payload,campo de modelo Pydantic comprovado,modules/shared/runtime.py:648
shared,GET,/resources/{resource_type},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:660
shared,GET,/resources/{resource_type}/{resource_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:681
shared,PATCH,/resources/{resource_type}/{resource_id},payload,campo de modelo Pydantic comprovado,modules/shared/runtime.py:714
shared,DELETE,/resources/{resource_type}/{resource_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:744
shared,POST,/resources/{resource_type}/{resource_id}/actions/{action},reason,campo de modelo Pydantic comprovado,modules/shared/runtime.py:764
shared,POST,/resources/{resource_type}/{resource_id}/actions/{action},payload,campo de modelo Pydantic comprovado,modules/shared/runtime.py:764
shared,GET,/audit/events,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:824
