app,module,entity,surface,title,route,field,binding,evidence
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,status,campo físico provável,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,created_at,campo físico provável,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
all-in-one,api_hub,api_hub,list,Api_hub,/api_hub/api_hub,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubOverview.tsx:6
all-in-one,api_hub,api_hub,list,Api_hub,/api_hub/api_hub,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubOverview.tsx:6
all-in-one,api_hub,api_hub,list,Api_hub,/api_hub/api_hub,status,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubOverview.tsx:6
all-in-one,api_hub,api_hub,list,Api_hub,/api_hub/api_hub,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubOverview.tsx:6
all-in-one,api_hub,api_hubpermissions,list,Api_hub Permissões,/api_hub/api_hubpermissions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubPermissions.tsx:6
all-in-one,api_hub,api_hubpermissions,list,Api_hub Permissões,/api_hub/api_hubpermissions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubPermissions.tsx:6
all-in-one,api_hub,api_hubpermissions,list,Api_hub Permissões,/api_hub/api_hubpermissions,status,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubPermissions.tsx:6
all-in-one,api_hub,api_hubpermissions,list,Api_hub Permissões,/api_hub/api_hubpermissions,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/Api_hubPermissions.tsx:6
all-in-one,api_hub,integration_runs,form,Integration Runs,/api_hub/integrationruns-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/IntegrationRunsForm.tsx:6
all-in-one,api_hub,integration_runs,form,Integration Runs,/api_hub/integrationruns-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/IntegrationRunsForm.tsx:6
all-in-one,api_hub,integration_runs,form,Integration Runs,/api_hub/integrationruns-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/IntegrationRunsForm.tsx:6
all-in-one,api_hub,integration_runs,list,Integration Runs,/api_hub/integrationruns,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/IntegrationRunsList.tsx:6
all-in-one,api_hub,integration_runs,list,Integration Runs,/api_hub/integrationruns,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/IntegrationRunsList.tsx:6
all-in-one,api_hub,integration_runs,list,Integration Runs,/api_hub/integrationruns,status,campo físico provável,apps/all-in-one/src/pages/api_hub/IntegrationRunsList.tsx:6
all-in-one,api_hub,integration_runs,list,Integration Runs,/api_hub/integrationruns,created_at,campo físico provável,apps/all-in-one/src/pages/api_hub/IntegrationRunsList.tsx:6
